Ville,Temperature
Forville,-1.16
La Portanière,6.62
Wittenheim,2.52
Wattrelos,6.26
Vitré,6.08
Viry-Châtillon,5.39
Villeneuve-le-Roi,5.41
Vierzon,3.07
Verrières-le-Buisson,5.07
Arrondissement d'Antony,5.37
Vallauris,7.39
Tourcoing,6.27
Taverny,5.4
Soisy-sous-Montmorency,5.67
Sin-le-Noble,6.65
Sèvres,5.06
Salon-de-Provence,2.19
Saint-Ouen-sur-Seine,5.53
Saint-Fons,2.15
Saint-Avold,2.97
Rezé,5.44
Pontivy,5.56
Pessac,4.22
Palaiseau,5.15
Ozoir-la-Ferrière,4.9
Oullins,2.2
Mougins,7.31
Morsang-sur-Orge,5.35
Montélimar,3.2
Montbéliard,1.49
Maisons-Alfort,5.53
Louviers,5.65
Limeil-Brévannes,5.26
Les Pavillons-sous-Bois,5.31
Lattes,6.63
Grigny,5.13
Goussainville,5.32
Gien,3.41
Gagny,5.38
Firminy,-0.74
Échirolles,1.65
Décines-Charpieu,2.37
Dammarie-les-Lys,4.93
Colombes,5.61
Cognac,2.95
Chenôve,-1.96
Chelles,5.3
Cesson-Sévigné,5.97
Cayenne,5.35
Carvin,6.69
Bonneuil-sur-Marne,5.44
Belfort,1.4
Bayeux,5.15
Bagnolet,5.25
Autun,-0.47
Auch,6.8
Annecy-le-Vieux,-1.58
Alfortville,5.56
Les Ulis,4.62
Saint-Jean-de-la-Ruelle,3.29
Saint-Herblain,5.14
Saint-Étienne,-1.3
Saint-Cyr-sur-Loire,5.11
Paris,5.5
Arrondissement de Boulogne-sur-Mer,6.4
Outreau,7.01
Orvault,4.98
Arrondissement de Metz,3.75
Maurepas,4.59
Laon,1.68
La Crau,8.17
La Courneuve,5.61
Gentilly,5.28
Garches,4.75
Croix,6.43
Couëron,5.08
Cernay,2.1
Montussan,4.52
Saint-Laurent,3.73
Saint-Bris-le-Vineux,2.85
Garanou,2.39
Provence-Alpes-Côte d'Azur Region,4.26
Var,6.74
Arrondissement de Narbonne,4.32
Carbonne,6.18
Carbonne,6.09
Arrondissement de Marseille,5.49
Saint-Pierre,4.18
Ilharre,3.91
Les Mées,4.21
Castelsarrasin,7.52
Vallabrix,1.71
Lussolle,4.39
Pontenx-les-Forges,3.36
Pontenx-les-Forges,3.46
Saint-Trosse,3.16
Arrondissement de Périgueux,4.42
Arrondissement de La Tour-du-Pin,0.21
Four,1.28
Corent,-1.37
Upper Savoy,-9.87
Franche-Comté Region,-2.17
Jura,-2.55
Trouy,1.1
Trouy,1.12
Doubs,-1.89
Arrondissement de Pontarlier,-4.91
La Croix Verte,5.46
Ormenans,0.92
Brittany Region,5.81
Champagne-Ardenne Region,3.47
Île-de-France Region,4.92
Fontenailles,4.5
Audignicourt,5.15
Somme,6.4
Béthencourt-sur-Mer,5.94
L'Hospitalet-près-l'Andorre,-3.34
L'Allier,3.04
L'Eure,5.48
Saint-Girons,5.07
Grenoble,2.02
Serres-Castet,2.92
Mamers,4.88
Bar-sur-Aube,3.67
Anguilcourt-le-Sart,6.38
Yerres,5.08
Arrondissement de Mulhouse,2.07
Hésingue,2.15
Les Chenais,4.1
Arrondissement de Sarlat-la-Canéda,2.81
Dhuizon,3.58
Dhuizon,3.55
Lot-et-Garonne,4.75
Arrondissement d'Agen,4.13
Pont-du-Casse,4.79
Pont-du-Casse,4.73
Rosny-sous-Bois,5.34
Grégny,-2.45
Plérin,6.04
Arrondissement de Rambouillet,4.34
Saint-Germain-de-la-Grange,5.02
Allier,-1.21
Pouillon,3.64
Aiffres,3.69
Aiffres,3.64
Arrondissement de Dijon,-2.98
Marcilly-sur-Tille,-2.4
Marcilly-sur-Tille,-2.42
Montaigut-sur-Save,7.48
Allennes-les-Marais,6.63
Quiberon,7.33
Nexon,2.96
Loiret,3.23
La Jacqueminière,2.78
Quévert,5.31
Hazebrouck,6.3
Villeurbanne,2.39
Arrondissement de Brest,6.04
Amiens,6.36
Strasbourg,2.73
Nanterre,5.53
Orne,4.3
Créteil,5.38
Saint-Denis,5.64
Clermont-Ferrand,-1.35
Clermont-Ferrand,-1.53
Arrondissement de Tarbes,3.35
Clermont,5.82
Perpignan,5.16
Calvados,4.88
Le Mans,4.33
Le Mans,4.33
Reims,2.18
Argentan,4.4
Arrondissement de Roanne,0.03
Roanne,0.43
Landerneau,6.66
Arrondissement de Beauvais,5.76
Ville-d'Avray,5.12
Fontainebleau,4.73
Chamalières,-1.61
Saint-Brieuc,5.55
Nièvre,0.3
La Seyne-sur-Mer,9.2
Coutances,7.93
Coutances,7.93
Mondeville,5.43
Yèvres,3.93
Saverne,3.06
Lunéville,2.75
Arrondissement du Puy-en-Velay,-2.57
Coubon,-1.6
Coubon,-1.6
Arrondissement de Charleville-Mézières,4.01
Arrondissement de Bonneville,-8.52
Sotteville,8.33
Riva-Bella,5.57
Arrondissement de Saint-Julien-en-Genevois,-3.29
Labenne,7.36
Bruges,4.44
Tresses,4.27
Lacanau,4.18
Arrondissement d'Épinal,1.84
Gavray,6.77
Baron-sur-Odon,4.95
Arrondissement de Nontron,5.56
Biguglia,9.58
Rots,5.14
Arrondissement d'Ajaccio,4.26
Crépy-en-Valois,5.2
Virelade,5.13
Châteauneuf-les-Martigues,3.42
Castandet,2.67
Saint-Laurent-du-Var,8.56
Vienne,2.53
Bonneuil-en-France,5.61
Wittenheim,2.45
Vallauris,7.73
Sin-le-Noble,6.65
Sens,3.65
Saint-Priest,2.3
Saint-Pol-sur-Mer,5.92
Saint-Pierre-des-Corps,5.15
Saint-Pierre-des-Corps,5.12
Saint-Maximin-la-Sainte-Baume,6.2
Saint-Martin-d'Hères,1.96
Saint-Jean-de-la-Ruelle,3.33
Saint-Jean-de-Braye,3.47
Saint-Jean-de-Braye,3.43
Saint-Fons,2.38
Saintes,2.78
Sainte-Foy-lès-Lyon,1.59
Saint Egreve,1.95
Saint-Dié-des-Vosges,2.08
Saint-Cyr-sur-Loire,5.11
Saint-Amand-les-Eaux,6.44
Pontivy,5.56
Ploemeur,6.62
Pertuis,1.31
Palaiseau,5.15
Outreau,6.93
Oullins,2.27
Cherbourg-en-Cotentin,8.84
Octeville,8.27
Noyon,6.27
Noyon,6.27
Niort,3.73
Morlaix,7.15
Montivilliers,5.43
Montigny-lès-Metz,3.73
Millau,4.37
Meyzieu,2.3
Meylan,1.1
Mayenne,5.95
Mauguio,6.37
Lucé,4.39
Louviers,5.65
Lingolsheim,2.84
Les Herbiers,4.03
Le Puy-en-Velay,-1.55
Le Pontet,1.95
Le Bouscat,4.49
Lattes,6.63
Lanester,6.64
La Crau,8.21
La Chapelle-sur-Erdre,4.93
Hautmont,5.01
Fleury-les-Aubrais,3.31
Firminy,-0.68
Dole,0.03
Cran-Gevrier,-1.9
Coulommiers,5.0
Couëron,5.06
Coudekerque-Branche,5.92
Châtellerault,3.34
Cesson-Sévigné,5.97
Cavaillon,0.99
Carvin,6.6
Carquefou,5.07
Canteleu,5.14
Bruay-la-Buissière,6.25
Bourg-lès-Valence,2.76
Pantine,8.78
Languedoc-Roussillon Region,3.66
Marseille,5.55
Arrondissement de Bayonne,6.7
Arrondissement de Digne-les-Bains,4.4
Arrondissement de Mont-de-Marsan,3.26
Centre-Val de Loire,3.68
Cher,1.09
Arrondissement de Bourges,1.09
Arrondissement de Laon,2.14
Audignicourt,4.97
Béthencourt-sur-Mer,5.97
Andrézieux-Bouthéon,0.13
Saint-Sandoux,-3.38
Ambacourt,3.01
Essonne,4.62
Arrondissement de Romorantin-Lanthenay,3.7
Kerfeunteun,6.38
Arrondissement de Dax,4.38
Deux-Sèvres,2.95
Arrondissement de Niort,3.39
Hautes-Alpes,-6.25
Le Fango,9.74
Arrondissement de Dinan,5.22
Arrondissement de La Rochelle,2.85
Saint-Médard-d'Aunis,2.57
Saint-Médard-d'Aunis,2.62
Arrondissement d'Amiens,5.96
Arrondissement de Strasbourg,2.73
Arrondissement de Nanterre,5.53
Arrondissement d'Argentan,4.47
Arrondissement de Créteil,5.51
Arrondissement de Saint-Denis,5.6
Juan-les-Pins,8.62
Tarbes,3.25
Arrondissement de Perpignan,3.93
Arrondissement de Caen,5.14
Brie-Comte-Robert,5.03
Arrondissement du Mans,4.11
Loos,6.6
Aubière,-1.39
Viale,1.46
Ville-d'Avray,4.76
Arrondissement de Fontainebleau,4.7
Montreuil,5.16
Chamalières,-1.57
Arrondissement de Nevers,0.33
Rambouillet,4.59
La Seyne-sur-Mer,9.2
Mondeville,5.34
Arrondissement de Châteaudun,3.53
Arrondissement de Saverne,2.62
Guérande,4.36
Montpeloux,-3.81
Bruges,4.44
Lacanau,4.16
Gavray-sur-Sienne,6.83
Baron-sur-Odon,5.04
Biguglia,9.04
Vico,4.22
Crépy-en-Valois,5.14
Châteauneuf-les-Martigues,3.42
Sommesous,3.46
Wasquehal,6.43
Voiron,0.92
Voiron,1.05
Vitry-sur-Seine,5.53
Vitrolles,2.2
Vitrolles,2.67
Viroflay,5.0
Arrondissement de Nogent-sur-Marne,5.24
Vincennes,5.43
Villiers-sur-Marne,5.09
Villiers-le-Bel,5.43
Villers-lès-Nancy,2.68
Villers-lès-Nancy,2.86
Arrondissement du Raincy,5.31
Villepinte,5.46
Villeneuve-la-Garenne,5.7
Villemomble,5.35
Arrondissement de L'Haÿ-les-Roses,5.18
Villejuif,5.16
Villefranche-sur-Saône,1.89
Villefontaine,1.88
Villefontaine,1.78
Vigneux-sur-Seine,5.41
Vierzon,3.07
Vertou,5.38
Vertou,5.26
Vernon,5.51
Verneuil-sur-Seine,5.73
Vénissieux,2.3
Vélizy-Villacoublay,4.6
Vauréal,5.68
Vaulx-en-Velin,2.42
Vaulx-en-Velin,2.4
Vanves,5.44
Vannes,6.14
Vandœuvre-lès-Nancy,2.93
Vandœuvre-lès-Nancy,2.93
Valenciennes,6.24
Valence,2.9
Tulle,2.11
Tremblay-en-France,5.41
Trappes,4.67
Tours,5.23
Tournefeuille,7.43
Tournefeuille,7.21
Torcy,5.05
Thiais,5.17
Tergnier,6.37
Tergnier,6.38
Tassin-la-Demi-Lune,2.03
Suresnes,5.63
Sucy-en-Brie,5.05
Stains,5.65
Sotteville-lès-Rouen,5.89
Sorgues,1.88
Sorgues,1.89
Soissons,4.93
Six-Fours-les-Plages,9.07
Six-Fours-les-Plages,8.86
Seynod,-2.24
Seynod,-2.14
Sevran,5.47
Arrondissement de Sens,3.19
Sens,3.65
Senlis,5.64
Arrondissement de Sélestat-Erstein,1.72
Sélestat,2.49
Sedan,4.32
Schiltigheim,2.76
Sceaux,5.13
Savigny-le-Temple,4.95
Saumur,5.49
Sartrouville,5.56
Sarcelles,5.46
Arrondissement d'Argenteuil,5.72
Sannois,5.25
Sanary-sur-Mer,9.41
Sanary-sur-Mer,9.42
Sallanches,-1.88
Sallanches,-1.88
Saint-Sébastien-sur-Loire,5.33
Saint-Raphaël,7.85
Arrondissement de Saint-Quentin,6.05
Saint-Quentin,5.97
Saint-Priest,2.21
Saint-Ouen-l'Aumône,5.81
Saint-Michel-sur-Orge,5.46
Saint-Maximin-la-Sainte-Baume,6.18
Saint-Maur-des-Fossés,5.51
Saint-Martin-d'Hères,1.93
Saint-Mandé,5.53
Saint-Leu-la-Forêt,5.48
Saint-Laurent-d'Andenay,-0.13
Saint-Leu,-0.31
Saint-Laurent-du-Var,8.81
Saint-Gratien,5.62
Arrondissement de Saintes,2.56
Saintes,2.78
Sainte-Geneviève-des-Bois,5.22
Sainte-Foy-lès-Lyon,1.45
Saint-Égrève,1.97
Saint-Dié-des-Vosges,2.08
Saint-Cyr-l'École,4.91
Saint-Cloud,5.24
Saint-Chamond,0.4
Saint-Chamond,0.43
Saint-Amand-les-Eaux,6.47
Rueil-Malmaison,5.51
Royan,2.38
Rouen,5.89
Ronchin,6.47
Romans-sur-Isère,2.16
Romainville,5.08
Roissy-en-Brie,4.91
Ris-Orangis,5.23
Rillieux-la-Pape,1.61
Rillieux-la-Pape,1.64
Rennes,4.27
Puteaux,5.63
Port-de-Bouc,3.81
Port-de-Bouc,3.72
Pont-à-Mousson,3.41
Poissy,5.66
Ploemeur,6.62
Plaisir,5.02
Plaisance-du-Touch,7.24
Plaisance-du-Touch,7.22
Pierrefitte-sur-Seine,5.62
Arrondissement d'Apt,-1.38
Pertuis,1.33
Pantin,5.52
Pantin,5.53
Oyonnax,-2.72
