Ville,Temperature
Forville,4.15
La Portanière,14.17
Wittenheim,2.56
Wattrelos,7.15
Vitré,9.48
Viry-Châtillon,9.32
Villeneuve-le-Roi,9.26
Vierzon,7.2
Verrières-le-Buisson,8.79
Arrondissement d'Antony,9.07
Vallauris,13.81
Tourcoing,7.11
Taverny,8.56
Soisy-sous-Montmorency,8.99
Sin-le-Noble,7.05
Sèvres,8.71
Salon-de-Provence,13.49
Saint-Ouen-sur-Seine,9.08
Saint-Fons,3.65
Saint-Avold,4.24
Rezé,8.99
Pontivy,9.84
Pessac,13.96
Palaiseau,8.93
Ozoir-la-Ferrière,9.09
Oullins,3.61
Mougins,13.83
Morsang-sur-Orge,9.34
Montélimar,8.12
Montbéliard,4.05
Maisons-Alfort,9.3
Louviers,8.65
Limeil-Brévannes,9.21
Les Pavillons-sous-Bois,9.04
Lattes,11.49
Grigny,9.16
Goussainville,8.76
Gien,8.83
Gagny,9.09
Firminy,0.24
Échirolles,4.77
Décines-Charpieu,3.85
Dammarie-les-Lys,9.48
Colombes,9.08
Cognac,10.19
Chenôve,5.2
Chelles,9.12
Cesson-Sévigné,10.54
Cayenne,7.07
Carvin,7.18
Bonneuil-sur-Marne,9.33
Belfort,2.8
Bayeux,8.17
Bagnolet,8.9
Autun,4.71
Auch,11.77
Annecy-le-Vieux,3.16
Alfortville,9.26
Les Ulis,8.52
Saint-Jean-de-la-Ruelle,8.25
Saint-Herblain,8.83
Saint-Étienne,-0.32
Saint-Cyr-sur-Loire,6.86
Paris,9.16
Arrondissement de Boulogne-sur-Mer,7.27
Outreau,7.76
Orvault,8.81
Arrondissement de Metz,5.28
Maurepas,8.35
Laon,8.68
La Crau,14.58
La Courneuve,9.1
Gentilly,8.99
Garches,8.28
Croix,7.13
Couëron,9.02
Cernay,2.05
Montussan,13.62
Saint-Laurent,8.77
Saint-Bris-le-Vineux,6.74
Garanou,11.36
Provence-Alpes-Côte d'Azur Region,9.02
Var,13.23
Arrondissement de Narbonne,10.23
Carbonne,12.78
Carbonne,12.68
Arrondissement de Marseille,13.34
Saint-Pierre,14.02
Ilharre,13.45
Les Mées,11.1
Castelsarrasin,13.17
Vallabrix,9.79
Lussolle,12.97
Pontenx-les-Forges,12.5
Pontenx-les-Forges,12.5
Saint-Trosse,12.64
Arrondissement de Périgueux,11.14
Arrondissement de La Tour-du-Pin,3.34
Four,3.7
Corent,-0.37
Upper Savoy,-5.19
Franche-Comté Region,3.55
Jura,1.78
Trouy,5.88
Trouy,5.9
Doubs,1.72
Arrondissement de Pontarlier,-0.32
La Croix Verte,9.04
Ormenans,5.22
Brittany Region,10.25
Champagne-Ardenne Region,8.41
Île-de-France Region,9.28
Fontenailles,9.6
Audignicourt,8.81
Somme,6.08
Béthencourt-sur-Mer,6.6
L'Hospitalet-près-l'Andorre,5.75
L'Allier,7.53
L'Eure,9.56
Saint-Girons,12.91
Grenoble,5.07
Serres-Castet,14.06
Mamers,7.78
Bar-sur-Aube,9.7
Anguilcourt-le-Sart,5.39
Yerres,9.12
Arrondissement de Mulhouse,2.47
Hésingue,3.15
Les Chenais,10.05
Arrondissement de Sarlat-la-Canéda,10.73
Dhuizon,7.81
Dhuizon,7.77
Lot-et-Garonne,11.44
Arrondissement d'Agen,12.1
Pont-du-Casse,12.17
Pont-du-Casse,12.16
Rosny-sous-Bois,9.05
Grégny,3.9
Plérin,8.81
Arrondissement de Rambouillet,8.46
Saint-Germain-de-la-Grange,8.64
Allier,5.62
Pouillon,12.51
Aiffres,7.51
Aiffres,7.39
Arrondissement de Dijon,5.01
Marcilly-sur-Tille,5.6
Marcilly-sur-Tille,5.58
Montaigut-sur-Save,13.86
Allennes-les-Marais,7.21
Quiberon,10.61
Nexon,11.75
Loiret,8.07
